2016-02-26 16:07:07,144 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mk.hsilomedus:raspi-pn532:0.0.1-SNAPSHOT @ C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\pom.xml.
2016-02-26 16:07:08,572 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:08,588 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\main\resources
2016-02-26 16:07:08,588 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:08,588 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\test\resources
2016-02-26 16:07:10,332 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mk.hsilomedus:raspi-pn532:0.0.1-SNAPSHOT @ C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\pom.xml.
2016-02-26 16:07:10,661 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:10,666 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\main\resources
2016-02-26 16:07:10,669 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:10,674 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\test\resources
2016-02-26 16:07:11,744 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:11,767 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\main\resources
2016-02-26 16:07:11,769 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:11,773 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\test\resources
2016-02-26 16:07:25,384 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:25,388 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\main\resources
2016-02-26 16:07:25,392 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 16:07:25,397 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\tools\cygwin\home\henrihs\osgi-train\raspi-pn532\src\test\resources
